,Image Path,Image Name,Origin,CL,F,JH
201,http://www.vggallery.com/painting/p_0111.htm,"[""Still Life with Birds' Nests""]","Late September-early October, 1885 and 1886-87","Amsterdam, Van Gogh Museum",111,939
202,http://www.vggallery.com/painting/p_0112.htm,"[""Still Life with Three Birds' Nests""]","September-October, 1885","Otterlo, Kröller-Müller Museum",112,938
203,http://www.vggallery.com/painting/p_0109r.htm,"[""Still Life with Birds' Nests""]","Late September-early October, 1885","Amsterdam, Van Gogh Museum",109r,942
204,http://www.vggallery.com/painting/p_0119.htm,['Autumn Landscape'],"October, 1885","Cambridge (England), Fitzwilliam Museum",119,949
205,http://www.vggallery.com/painting/p_0191a.htm,['Country Lane with Two Figures'],"October, 1885",Private collection,191a,950
206,http://www.vggallery.com/painting/p_0182.htm,"['Vicarage at Nuenen, The']","September-early October, 1885","Amsterdam, Van Gogh Museum",182,948
207,http://www.vggallery.com/painting/p_0108.htm,"[""Still Life with Three Birds' Nests""]","October, 1885","Otterlo, Kröller-Müller Museum",108,940
208,http://www.vggallery.com/painting/p_0110.htm,"[""Still Life with Three Birds' Nests""]","October, 1885","The Hague, Kunstmuseum Den Haag (on loan from the Wibbina Foundation)",110,941
209,http://www.vggallery.com/painting/p_0210.htm,['View of a Town with Drawbridge'],"October, 1885",Private collection,210,947
210,http://www.vggallery.com/painting/p_0113.htm,['View of Amsterdam from Central Station'],"October, 1885","Amsterdam, P. and N. de Boer Foundation",113,944
211,http://www.vggallery.com/painting/p_0211.htm,"['De Ruijterkade in Amsterdam, The']",Amsterdam: 8 October 1885,"Amsterdam, Van Gogh Museum",211,973
212,http://www.vggallery.com/painting/p_0121.htm,['Autumn Landscape at Dusk'],"October-November, 1885","Utrecht, Centraal Museum",121,956
213,http://www.vggallery.com/painting/p_0044.htm,['Autumn Landscape with Four Trees'],"November, 1885","Otterlo, Kröller-Müller Museum",44,962
214,http://www.vggallery.com/painting/p_0196.htm,['Landscape with Windblown Trees'],"November, 1885",Private collection,196,957
215,http://www.vggallery.com/painting/p_0045.htm,['Lane with Poplars'],"November, 1885","Rotterdam, Museum Boijmans-van Beuningen",45,959
216,http://www.vggallery.com/painting/p_0183.htm,"['Parsonage at Nuenen by Moonlight, The']","November, 1885",Private collection,183,952
217,http://www.vggallery.com/painting/p_0124.htm,"['Parsonage Garden at Nuenen with Pond and Figures, The']","November, 1885",Destroyed by fire in Rotterdam during the Second World War,124,955
218,http://www.vggallery.com/painting/p_0195.htm,"['Willow, The']","November, 1885","Den Bosch, Netherlands, F. van Lanschot Bankiers NV",195,961
219,http://www.vggallery.com/painting/p_0177a.htm,['Flying Fox'],"Late October-late November, 1885","Amsterdam, Van Gogh Museum",177a,1192
220,http://www.vggallery.com/painting/p_0260.htm,['Backyards of Old Houses in Antwerp in the Snow'],"December, 1885","Amsterdam, Van Gogh Museum",260,970
221,http://www.vggallery.com/painting/p_0206.htm,['Head of a Woman with her Hair Loose'],"December, 1885","Amsterdam, Van Gogh Museum",206,972
222,http://www.vggallery.com/painting/p_0174.htm,['Head of an Old Woman with White Cap (The Midwife)'],"December, 1885","Amsterdam, Van Gogh Museum",174,978
223,http://www.vggallery.com/painting/p_0205.htm,['Portrait of an Old Man with Beard'],"December, 1885","Amsterdam, Van Gogh Museum",205,971
224,http://www.vggallery.com/painting/p_0207.htm,['Portrait of a Woman with Red Ribbon'],"December, 1885","New York, Collection Alfred Wyler",207,979
225,http://www.vggallery.com/painting/p_0207a.htm,['Portrait of Woman in Blue'],"December, 1885","Amsterdam, Van Gogh Museum",207a,1204
226,http://www.vggallery.com/painting/p_0212.htm,['Skull with Burning Cigarette'],"Winter, 1885-86","Amsterdam, Van Gogh Museum",212,999
227,http://www.vggallery.com/painting/p_0278.htm,['Still Life with Meadow Flowers and Roses'],1886-87,"Otterlo, Kröller-Müller Museum",278,1103
228,http://www.vggallery.com/painting/p_jh_add01.htm,['Bowl with Daffodils'],1886,Private collection,None,Add. 1
229,http://www.vggallery.com/painting/pb_0002.htm,['Le Blute-Fin Mill'],Paris: 1886,"Zwolle (Netherlands), Museum de Fundatie",None,None
230,http://www.vggallery.com/painting/p_0215d.htm,['Portrait of a Woman Seated'],1886,"Amsterdam, Van Gogh Museum",215d,None
231,http://www.vggallery.com/painting/p_0215c.htm,['Portrait of a Woman with Hat'],1886,"Amsterdam, Van Gogh Museum",215c,None
232,http://www.vggallery.com/painting/p_jh_add20.htm,['Flowers in a Blue Vase'],1886-87,Private collection,None,Add. 20
233,http://www.vggallery.com/painting/pb_0001.htm,['Vase with Flowers'],1886-87,Private collection,None,None
234,http://www.vggallery.com/painting/p_0331.htm,"['Pair of Shoes, A']",First half 1886,"Amsterdam, Van Gogh Museum",331,1235
235,http://www.vggallery.com/painting/p_0215b.htm,"['Portrait of a Woman, Facing Right']","First half, 1886","Amsterdam, Van Gogh Museum",215b,1205
236,http://www.vggallery.com/painting/p_0214.htm,['Fritillaries'],"Spring, 1886",Location unknown,214,1092
237,http://www.vggallery.com/painting/p_0199.htm,['Glass with Hellebores'],"Spring, 1886",Private collection,199,1091
238,http://www.vggallery.com/painting/p_0215.htm,"['Nude Study of a Little Girl, Seated']","Spring, 1886","Amsterdam, Van Gogh Museum",215,1045
239,http://www.vggallery.com/painting/p_0216a.htm,['Plaster Statuette of a Female Torso'],"Spring, 1886","Amsterdam, Van Gogh Museum",216a,1054
240,http://www.vggallery.com/painting/p_0216b.htm,['Plaster Statuette of a Female Torso'],"Spring, 1886","Amsterdam, Van Gogh Museum",216b,1060
241,http://www.vggallery.com/painting/p_0216d.htm,['Plaster Statuette of a Female Torso'],"Spring, 1886","Amsterdam, Van Gogh Museum",216d,1071
242,http://www.vggallery.com/painting/p_0216g.htm,['Plaster Statuette of a Female Torso'],"Spring, 1886","Amsterdam, Van Gogh Museum",216g,1055
243,http://www.vggallery.com/painting/p_0216h.htm,['Plaster Statuette of a Female Torso'],"Spring, 1886","Amsterdam, Van Gogh Museum",216h,1058
244,http://www.vggallery.com/painting/p_0216i.htm,['Plaster Statuette of a Female Torso'],"Spring, 1886","Amsterdam, Van Gogh Museum",216i,1072
245,http://www.vggallery.com/painting/p_0216j.htm,['Plaster Statuette of a Female Torso'],"Spring, 1886","Amsterdam, Van Gogh Museum",216j,1059
246,http://www.vggallery.com/painting/p_0216c.htm,['Plaster Statuette of a Horse'],"Spring, 1886","Amsterdam, Van Gogh Museum",216c,1082
247,http://www.vggallery.com/painting/p_0216f.htm,['Plaster Statuette of a Kneeling Man'],"Spring, 1886","Amsterdam, Van Gogh Museum",216f,1076
248,http://www.vggallery.com/painting/p_0216e.htm,['Plaster Statuette of a Male Torso'],"Spring, 1886","Amsterdam, Van Gogh Museum",216e,1078
249,http://www.vggallery.com/painting/p_0208a.htm,['Self-Portrait with Dark Felt Hat'],"Spring, 1886","Amsterdam, Van Gogh Museum",208a,1089
250,http://www.vggallery.com/painting/p_0181.htm,['Self-Portrait with Dark Felt Hat at the Easel'],"Spring, 1886","Amsterdam, Van Gogh Museum",181,1090
251,http://www.vggallery.com/painting/p_0180.htm,['Self-Portrait with Pipe'],"Spring, 1886","Amsterdam, Van Gogh Museum",180,1194
252,http://www.vggallery.com/painting/p_0208.htm,['Self-Portrait with Pipe'],"Spring, 1886","Amsterdam, Van Gogh Museum",208,1195
253,http://www.vggallery.com/painting/p_0232.htm,['Sloping Path in Montmartre'],"Spring, 1886","Amsterdam, Van Gogh Museum",232,1113
254,http://www.vggallery.com/painting/p_0666.htm,['Still Life with Scabiosa and Ranunculus'],"Spring, 1886",Private collection,666,1094
255,http://www.vggallery.com/painting/p_0244.htm,['Tambourine with Pansies'],"Spring, 1886","Amsterdam, Van Gogh Museum",244,1093
256,http://www.vggallery.com/painting/p_0265.htm,['View of Paris from near Montmartre'],"Spring, 1886","Dublin, National Gallery of Ireland",265,1100
257,http://www.vggallery.com/painting/p_0231.htm,['View of Roofs and Backs of Houses'],"Spring, 1886","Amsterdam, Van Gogh Museum",231,1099
258,http://www.vggallery.com/painting/p_0221.htm,"['Pont du Carrousel and the Louvre, The']","June, 1886","Copenhagen, Ny Carlsberg Glyptotek",221,1109
259,http://www.vggallery.com/painting/p_0243a.htm,['Vase with Myosotis and Peonies'],"June, 1886","Amsterdam, Van Gogh Museum",243a,1106
260,http://www.vggallery.com/painting/p_0223.htm,['Lane at the Jardin du Luxembourg'],"June-July, 1886","Williamstown (Mass.), Sterling and Francine Clark Art Institute",223,1111
261,http://www.vggallery.com/painting/p_0282.htm,['Cineraria in a Flowerpot'],"July-August, 1886","Rotterdam, Museum Boijmans-van Beuningen",282,1165
262,http://www.vggallery.com/painting/p_0028.htm,"['Kingfisher, The']","Second half, 1886","Amsterdam, Van Gogh Museum",28,1191
263,http://www.vggallery.com/painting/p_0255.htm,"['Pair of Shoes, A']",Second half 1886,"Amsterdam, Van Gogh Museum",255,1124
264,http://www.vggallery.com/painting/p_0225.htm,"['Bois de Boulogne with People Walking, The']","Summer, 1886","Zeist (Netherlands), Van Vlissingen Art Foundation",225,1110
265,http://www.vggallery.com/painting/p_0217.htm,['Bowl with Chrysanthemums'],"Summer, 1886",Monte Carlo Art SA,217,1164
266,http://www.vggallery.com/painting/p_0224.htm,"['Bois de Boulogne with People Walking, The']","Summer, 1886","Zurich, Private collection",224,1112
267,http://www.vggallery.com/painting/p_0281.htm,['Coleus Plant in a Flowerpot'],"Summer, 1886","Amsterdam, Van Gogh Museum",281,1143
268,http://www.vggallery.com/painting/p_0222.htm,"['Fourteenth of July Celebration in Paris, The']","Summer, 1886","Winterthur, Villa Flora",222,1108
269,http://www.vggallery.com/painting/p_0201.htm,['Geranium in a Flowerpot'],"Summer, 1886",Private collection,201,1139
270,http://www.vggallery.com/painting/p_0198.htm,['Ginger Jar Filled with Chrysanthemums'],"Summer, 1886",Private collection,198,1125
271,http://www.vggallery.com/painting/p_0218.htm,['Glass with Roses'],"Summer, 1886","Amsterdam, Van Gogh Museum",218,1144
272,http://www.vggallery.com/painting/p_0273.htm,['Le Moulin de Blute-Fin'],"Summer, 1886","Tokyo, Artizon Museum",273,1116
273,http://www.vggallery.com/painting/p_0274.htm,['Le Moulin de la Galette'],"Summer, 1886","Glasgow, Glasgow Art Gallery and Museum",274,1115
274,http://www.vggallery.com/painting/p_0283.htm,['Still Life with Bloaters'],"Summer, 1886","Basle, Kunstmuseum (on loan from Staechelin Foundation)",283,1120
275,http://www.vggallery.com/painting/p_0203.htm,['Still Life with Bloaters'],"Summer, 1886","Otterlo, Kröller-Müller Museum",203,1123
276,http://www.vggallery.com/painting/p_1670.htm,"['Still Life with Meat, Vegetables and Pottery']","Summer, 1886","New York, J. Lipchitz",1670,1119
277,http://www.vggallery.com/painting/p_1671.htm,"['Still Life with Two Herrings, a Cloth and a Glass']","Summer, 1886","United States, Collection Scharenguival",1671,1122
278,http://www.vggallery.com/painting/p_1672.htm,"['Twilight, before the Storm: Montmartre']","Summer, 1886","France, Collection G. Darrieutort",1672,1114
279,http://www.vggallery.com/painting/p_0286.htm,"['Vase with Asters, Salvia and Other Flowers']","Summer, 1886","The Hague, Kunstmuseum Den Haag",286,1127
280,http://www.vggallery.com/painting/p_0245.htm,['Vase with Carnations'],"Summer, 1886","Amsterdam, Stedelijk Museum",245,1145
281,http://www.vggallery.com/painting/p_0220.htm,['Vase with Carnations'],"Summer, 1886","Rotterdam, Museum Boijmans van Beuningen",220,1138
282,http://www.vggallery.com/painting/p_0243.htm,['Vase with Carnations'],"Summer, 1886","Detroit, The Detroit Institute of Arts",243,1129
283,http://www.vggallery.com/painting/p_0596.htm,['Vase with Carnations and Other Flowers'],"Summer, 1886","Washington, D.C., Kreeger Museum",596,1135
284,http://www.vggallery.com/painting/p_0259.htm,['Vase with Carnations and Zinnias'],"Summer, 1886",Private collection,259,1132
285,http://www.vggallery.com/painting/p_0197.htm,['Vase with Daisies'],"Summer, 1886","Philadelphia, The Philadelphia Museum of Art",197,1167
286,http://www.vggallery.com/painting/p_0242.htm,['Vase with Gladioli and Carnations'],"Summer, 1886",Private collection,242,1147
287,http://www.vggallery.com/painting/p_0237.htm,['Vase with Gladioli and Carnations'],"Summer, 1886","Rotterdam, Museum Boymans-van Beuningen",237,1131
288,http://www.vggallery.com/painting/p_0286a.htm,['Vase with Gladioli and Lilac'],"Summer, 1886",Private collection,286a,1128
289,http://www.vggallery.com/painting/p_0666a.htm,['Vase with Peonies'],"Summer, 1886",Private collection,666a,1107
290,http://www.vggallery.com/painting/p_0248b.htm,['Vase with Red Gladioli'],"Summer, 1886","Vevey (Switzerland), Musée Jenisch (on long term loan to the Granet Museum in Aix-en-Provence)",248b,1150
291,http://www.vggallery.com/painting/p_0247.htm,['Vase with Red Gladioli'],"Summer, 1886",Private collection,247,1149
292,http://www.vggallery.com/painting/p_0248.htm,['Vase with Red Gladioli'],"Summer, 1886",Private collection,248,1146
293,http://www.vggallery.com/painting/p_0279.htm,['Vase with Red Poppies'],"Summer, 1886","Hartford (Conn.), Wadsworth Atheneum",279,1104
294,http://www.vggallery.com/painting/p_0324a.htm,['Vase with Viscaria'],"Summer, 1886","Cairo, Mohamed Mahmoud Khalil Museum",324a,1137
295,http://www.vggallery.com/painting/p_0236.htm,['Vase with White and Red Carnations'],"Summer, 1886",Private collection,236,1130
296,http://www.vggallery.com/painting/p_0252.htm,['Vase with Zinnias'],"Summer, 1886","Washington, D.C., Kreeger Museum",252,1140
297,http://www.vggallery.com/painting/p_0241.htm,['Vase with Zinnias and Geraniums'],"Summer, 1886","Ottawa, National Gallery of Canada",241,1134
298,http://www.vggallery.com/painting/p_0251.htm,['Vase with Zinnias and Other Flowers'],"Summer, 1886","Ottawa, National Gallery of Canada",251,1142
299,http://www.vggallery.com/painting/p_0258.htm,['White Vase with Roses and Other Flowers'],"Summer, 1886","Japan, Yoshino Gypsum Collection",258,1141
300,http://www.vggallery.com/painting/p_0234.htm,['Vase with Asters and Phlox'],"Late Summer, 1886","Amsterdam, Van Gogh Museum",234,1168
301,http://www.vggallery.com/painting/p_0248a.htm,['Vase with Gladioli'],"Late Summer, 1886","Amsterdam, Van Gogh Museum",248a,1148
302,http://www.vggallery.com/painting/p_0262.htm,['View of Paris from Montmartre'],"Late Summer, 1886","Basle, Offentliche Kunstsammlung, Kunstmuseum Basel",262,1102
303,http://www.vggallery.com/painting/p_0261.htm,['View of the Roofs of Paris'],"Late Summer, 1886","Amsterdam, Van Gogh Museum",261,1101
304,http://www.vggallery.com/painting/p_0250.htm,"['Bowl with Sunflowers, Roses and Other Flowers']","August-September, 1886","Mannheim, Kunsthalle Mannheim",250,1166
305,http://www.vggallery.com/painting/p_0235.htm,['Vase with Hollyhocks'],"August-September, 1886","Zurich, Kunsthaus Zurich",235,1136
306,http://www.vggallery.com/painting/p_0238.htm,['Terrace of a Cafe on Montmartre (La Guinguette)'],"October, 1886","Paris, Musée d'Orsay",238,1178
307,http://www.vggallery.com/painting/p_jh_add02.htm,"['Bois de Boulogne with People Walking, The']","Autumn, 1886",Private collection,None,Add. 2
308,http://www.vggallery.com/painting/p_0249.htm,['Bowl with Peonies and Roses'],"Autumn, 1886","Otterlo, Kröller-Müller Museum",249,1105
309,http://www.vggallery.com/painting/p_0226.htm,['Le Moulin de la Galette'],"Autumn, 1886","Baden, Stiftung Langmatt (Museum)",226,1172
310,http://www.vggallery.com/painting/p_0228.htm,['Le Moulin de la Galette'],"Autumn, 1886","Berlin, Nationalgalerie SMPK",228,1171
311,http://www.vggallery.com/painting/p_0348.htm,['Le Moulin de la Galette'],"Autumn, 1886","Buenos Aires, Museo Nacional de Bellas Artes",348,1182
312,http://www.vggallery.com/painting/p_0349.htm,['Le Moulin de la Galette'],"Autumn, 1886",Private collection,349,1184
313,http://www.vggallery.com/painting/p_0227.htm,['Le Moulin de la Galette'],"Autumn, 1886","Otterlo, Kröller-Müller Museum",227,1170
314,http://www.vggallery.com/painting/p_0272.htm,['Montmartre'],"Autumn, 1886","Chicago, The Art Institute of Chicago",272,1183
315,http://www.vggallery.com/painting/p_0229.htm,"['Montmartre: Quarry, the Mills']","Autumn, 1886","Amsterdam, Van Gogh Museum",229,1176
316,http://www.vggallery.com/painting/p_0230.htm,"['Hill of Montmartre with Quarry, The']","Autumn, 1886","Amsterdam, Van Gogh Museum",230,1177
317,http://www.vggallery.com/painting/p_0264.htm,['Outskirts of Paris'],"Autumn, 1886",Private collection,264,1179
318,http://www.vggallery.com/painting/p_0178v.htm,['Self-Portrait'],"Autumn, 1886","The Hague, Kunstmuseum Den Haag",178v,1198
319,http://www.vggallery.com/painting/p_0256.htm,['Still Life with Mussels and Shrimps'],"Autumn, 1886","Amsterdam, Van Gogh Museum",256,1169
320,http://www.vggallery.com/painting/p_0266.htm,['View of Montmartre with Windmills'],"Autumn, 1886","Otterlo, Kröller-Müller Museum",266,1175
321,http://www.vggallery.com/painting/p_0271.htm,['Windmill on Montmartre'],"Autumn, 1886",Destroyed by fire in 1967,271,1186
322,http://www.vggallery.com/painting/p_0332.htm,['Three Pairs of Shoes'],"December, 1886","Cambridge (Mass.), Fogg Art Museum, Harvard University",332,1234
323,http://www.vggallery.com/painting/p_0288.htm,['Portrait of a Man with a Moustache'],"Winter, 1886/87",Location unknown,288,1200
324,http://www.vggallery.com/painting/p_0289.htm,['Portrait of a Man with a Skull Cap'],"Winter, 1886/87 (or 1887/88?)","Amsterdam, Van Gogh Museum",289,1203
325,http://www.vggallery.com/painting/p_0357.htm,['Portrait of a Woman (Madame Tanguy?)'],"Winter, 1886/87","Basle, Kunstmuseum Basel, on loan from the Rudolf Staechelin Family Foundation",357,1216
326,http://www.vggallery.com/painting/p_0263.htm,['Portrait of Père Tanguy'],"Winter, 1886/87","Copenhagen, Ny Carlsberg Glyptotek",263,1202
327,http://www.vggallery.com/painting/p_0364.htm,['Portrait of Père Tanguy'],"Winter, 1887/88",Collection Niarchos,364,1352
328,http://www.vggallery.com/painting/p_0270.htm,"['Portrait of the Art Dealer Alexander Reid, Sitting in an Easy Chair']","Winter, 1886/87","Norman, Oklahoma--Fred Jones Jr. Museum of Art (University of Oklahoma)",270,1207
329,http://www.vggallery.com/painting/p_0295.htm,['Self-Portrait with Grey Felt Hat'],"Winter, 1886/87","Amsterdam, Rijksmuseum",295,1211
330,http://www.vggallery.com/painting/p_0330.htm,['Nude Woman on a Bed'],Early 1887,"Philadelphia, The Barnes Foundation",330,1214
331,http://www.vggallery.com/painting/p_0329.htm,['Nude Woman Reclining'],Early 1887,"Otterlo, Kröller-Müller Museum",329,1215
332,http://www.vggallery.com/painting/p_0328.htm,"['Nude Woman Reclining, Seen from the Back']",Early 1887,"Paris, private collection",328,1212
333,http://www.vggallery.com/painting/p_0333.htm,"['Pair of Shoes, A']",Early 1887,"Baltimore, The Baltimore Museum of Art, The Cone Collection",333,1236
334,http://www.vggallery.com/painting/p_0263a.htm,['Self-Portrait with Pipe and Glass'],Early 1887,"Amsterdam, Van Gogh Museum",263a,1199
335,http://www.vggallery.com/painting/p_0266a.htm,['Factories Seen from a Hillside in Moonlight'],"First half, 1887","Amsterdam, Van Gogh Museum",266a,1223
336,http://www.vggallery.com/painting/p_0370.htm,['Agostina Segatori Sitting in the Cafe du Tambourin'],"February-March, 1887","Amsterdam, Van Gogh Museum",370,1208
337,http://www.vggallery.com/painting/p_0292.htm,['Boulevard de Clichy'],"February-March, 1887","Amsterdam, Van Gogh Museum",292,1219
338,http://www.vggallery.com/painting/p_0347.htm,['Street Scene in Montmartre: Le Moulin a Poivre'],"February-March, 1887","Amsterdam, Van Gogh Museum",347,1241
339,http://www.vggallery.com/painting/p_0346.htm,['Vegetable Garden in Montmartre'],"February-March, 1887","Amsterdam, Van Gogh Museum",346,1244
340,http://www.vggallery.com/painting/p_0348a.htm,['Le Moulin de la Galette'],"March, 1887","Pittsburgh, Carnegie Museum of Art",348a,1221
341,http://www.vggallery.com/painting/p_0336.htm,['Basket of Sprouting Bulbs'],"March-April, 1887","Amsterdam, Van Gogh Museum",336,1227
342,http://www.vggallery.com/painting/p_0337.htm,['Flowerpot with Chives'],"March-April, 1887","Amsterdam, Van Gogh Museum",337,1229
343,http://www.vggallery.com/painting/p_0296.htm,['Self-Portrait with Grey Felt Hat'],"March-April, 1887","Amsterdam, Van Gogh Museum",296,1210
344,http://www.vggallery.com/painting/p_0294.htm,['Self-Portrait or Portrait of Theo van Gogh'],"March-April, 1887","Amsterdam, Van Gogh Museum",294,1209
345,http://www.vggallery.com/painting/p_0334.htm,['Still Life with a Basket of Crocuses'],"March-April, 1887","Amsterdam, Van Gogh Museum",334,1228
346,http://www.vggallery.com/painting/p_0118.htm,['Still Life with an Earthen Bowl and Potatoes'],c. 1886,"Rotterdam, Museum Boijmans-van Beuningen (on loan)",118,932
347,http://www.vggallery.com/painting/pb_0004.htm,['Still Life with Fruit and Chestnuts'],"Autumn, 1886","San Francisco, Fine Arts Museums of San Francisco",None,None
348,http://www.vggallery.com/painting/p_0335.htm,['Still Life with Three Books'],"March-April, 1887","Amsterdam, Van Gogh Museum",335,1226
349,http://www.vggallery.com/painting/p_0338.htm,['Still Life with Lemons on a Plate'],"March-April, 1887","Amsterdam, Van Gogh Museum",338,1237
350,http://www.vggallery.com/painting/p_0213.htm,['Fritillaries in a Copper Vase'],"April-May, 1887","Paris, Musée d'Orsay",213,1247
351,http://www.vggallery.com/painting/p_0353.htm,"['Banks of the Seine with Boats, The']","Spring, 1887",Private collection,353,1271
352,http://www.vggallery.com/painting/p_0310a.htm,['Edge of a Wheatfield with Poppies'],"Spring, 1887","Denver, Denver Art Museum",310a,1273
353,http://www.vggallery.com/painting/p_0305.htm,"[""Entrance of Voyer d'Argenson Park at Asnières""]","Spring, 1887","Jerusalem, Israel Museum (on permanent loan from the State of Israel)",305,1265
354,http://www.vggallery.com/painting/p_0354.htm,['Fishing in Spring'],"Spring, 1887","Chicago, The Art Institute of Chicago",354,1270
355,http://www.vggallery.com/painting/p_0276.htm,"[""Lane in Voyer d'Argenson Park at Asnieres""]","Spring, 1887","New Haven (Conn.), Yale University Art Gallery",276,1259
356,http://www.vggallery.com/painting/p_0351.htm,['On the Outskirts of Paris'],"Spring, 1887",Private collection,351,1255
357,http://www.vggallery.com/painting/p_0332a.htm,"['Pair of Shoes, A']","Spring, 1887",Private collection,332a,1233
358,http://www.vggallery.com/painting/p_0583.htm,['Pasture in Bloom'],"Spring, 1887","Otterlo, Kröller-Müller Museum",583,1263
359,http://www.vggallery.com/painting/p_0343.htm,['Portrait of the Art Dealer Alexander Reid'],"Spring, 1887","Glasgow, Glasgow Art Gallery and Museum",343,1250
360,http://www.vggallery.com/painting/p_0312.htm,"['Restaurant de la Sirène at Asnières, The']","Spring, 1887","Oxford, Ashmolean Museum",312,1253
361,http://www.vggallery.com/painting/p_0239.htm,['Roadway with Underpass (The Viaduct)'],"Spring, 1887","New York, The Solomon R. Guggenheim Museum, Justin K. Thannhauser Collection",239,1267
362,http://www.vggallery.com/painting/p_0298.htm,"['Seine with a Rowing Boat, The']","Spring, 1887","Paris, private collection",298,1257
363,http://www.vggallery.com/painting/p_0345.htm,['Self-Portrait'],"Spring, 1887","Chicago, The Art Institute of Chicago",345,1249
364,http://www.vggallery.com/painting/p_0380.htm,['Self-Portrait'],"Spring, 1887","Otterlo, Kröller-Müller Museum",380,1225
365,http://www.vggallery.com/painting/p_0339.htm,['Still Life with Absinthe'],"Spring, 1887","Amsterdam, Van Gogh Museum",339,1238
366,http://www.vggallery.com/painting/p_0283b.htm,['Still Life with Bloaters and Garlic'],"Spring, 1887","Tokyo, Artizon Museum",283b,1230
367,http://www.vggallery.com/painting/p_0340.htm,['Still Life with Decanter and Lemons on a Plate'],"Spring, 1887","Amsterdam, Van Gogh Museum",340,1239
368,http://www.vggallery.com/painting/pjh_1240.htm,['Street Scene in Montmartre'],"Spring, 1887","Copenhagen, Private collection",None,1240
369,http://www.vggallery.com/painting/p_0300.htm,['View of a River with Rowing Boats'],"Spring, 1887",Private collection,300,1275
370,http://www.vggallery.com/painting/p_0341.htm,"[""View of Paris from Vincent's Room in the Rue Lepic""]","Spring, 1887","Amsterdam, Van Gogh Museum",341,1242
371,http://www.vggallery.com/painting/p_0341a.htm,"[""View of Paris from Vincent's Room in the Rue Lepic""]","Spring, 1887",Private collection,341a,1243
372,http://www.vggallery.com/painting/p_0369.htm,['Woman Sitting by a Cradle'],"Spring, 1887","Amsterdam, Van Gogh Museum",369,1206
373,http://www.vggallery.com/painting/p_0367.htm,['Woman Sitting in the Grass'],"Spring, 1887","New York, private collection",367,1261
374,http://www.vggallery.com/painting/p_0267.htm,['Self-Portrait'],"Spring-Summer, 1887","Amsterdam, Van Gogh Museum",267,1224
375,http://www.vggallery.com/painting/p_0356.htm,['Self-Portrait'],"Spring-Summer, 1887","Amsterdam, Van Gogh Museum",356,1248
376,http://www.vggallery.com/painting/p_0270a.htm,['Chestnut Tree in Blossom'],"May, 1887","Amsterdam, Van Gogh Museum",270a,1272
377,http://www.vggallery.com/painting/p_0293.htm,"['Banks of the Seine, The']","May-June, 1887","Amsterdam, Van Gogh Museum",293,1269
378,http://www.vggallery.com/painting/p_0352.htm,['Banks of the Seine with Pont de Clichy in the Spring'],"June, 1887","Dallas, Dallas Museum of Art",352,1321
379,http://www.vggallery.com/painting/p_0388v.htm,['Garden with Sunflowers'],"June, 1887","Amsterdam, Van Gogh Museum",388v,1307
380,http://www.vggallery.com/painting/p_0264a.htm,['Montmartre Path with Sunflowers'],"June, 1887","San Francisco, Legion of Honor Museum",264a,1306
381,http://www.vggallery.com/painting/p_0309.htm,['Path in the Woods'],"June, 1887","Amsterdam, Van Gogh Museum",309,1315
382,http://www.vggallery.com/painting/p_0314.htm,"[""Couples in the Voyer d'Argenson Park at Asnieres""]","June-July, 1887","Amsterdam, Van Gogh Museum",314,1258
383,http://www.vggallery.com/painting/p_0342.htm,['Interior of a Restaurant'],"June-July, 1887","Otterlo, Kröller-Müller Museum",342,1256
384,http://www.vggallery.com/painting/p_0275.htm,"[""Lane in Voyer d'Argenson Park at Asnieres""]","June-July, 1887","Amsterdam, Van Gogh Museum",275,1278
385,http://www.vggallery.com/painting/p_0361.htm,['Outskirts of Paris: Road with Peasant Shouldering a Spade'],"June-July, 1887","Private collection, Japan",361,1260
386,http://www.vggallery.com/painting/p_0350.htm,['Vegetable Gardens in Montmartre: La Butte Montmartre'],"June-July, 1887","Amsterdam, Stedelijk Museum",350,1245
387,http://www.vggallery.com/painting/p_0299.htm,['Walk Along the Banks of the Seine Near Asnieres'],"June-July, 1887","Amsterdam, Van Gogh Museum",299,1254
388,http://www.vggallery.com/painting/p_0368.htm,"['Woman Walking in a Garden, A']","June-July, 1887",Private collection,368,1262
389,http://www.vggallery.com/painting/p_0277.htm,"[""Avenue in Voyer d'Argenson Park at Asnieres""]","Summer, 1887",Private collection,277,1316
390,http://www.vggallery.com/painting/p_0302.htm,['Banks of the Seine with the Pont de Clichy'],"Summer, 1887",Collection Niarchos,302,1322
391,http://www.vggallery.com/painting/p_0311.htm,['Bathing Float on the Seine at Asnieres'],"Summer, 1887","Richmond (Va.), Virginia Museum of Fine Arts, Collection of Mr. and Mrs. Paul Mellon",311,1325
392,http://www.vggallery.com/painting/p_0301.htm,['Bridges across the Seine at Asnieres'],"Summer, 1887","Zurich, Foundation E.G. Bührle",301,1327
393,http://www.vggallery.com/painting/p_0315.htm,"[""Corner of Voyer d'Argenson Park at Asnieres""]","Summer, 1887",Private collection,315,1320
394,http://www.vggallery.com/painting/p_0321.htm,['Exterior of a Restaurant at Asnieres'],"Summer, 1887","Amsterdam, Van Gogh Museum",321,1311
